======================================================================
🔍 DEBUG: ANÁLISE DE PROTEÍNAS EXTRAÍDAS
======================================================================

📊 Total de proteínas extraídas (ANTES de deduplicação): 1829

⚠️ Locus_tags DUPLICADOS encontrados: 211

⭐ Proteínas que aparecem APENAS 1x (NÃO foram duplicadas): 1407
   - ACYTXH_10845: bgc=, size=48aa
   - ACYTXH_10895: bgc=, size=254aa
   - ACYTXH_10915: bgc=, size=88aa
   - ACYTXH_10995: bgc=, size=782aa
   - ACYTXH_11000: bgc=, size=63aa
   - ACYTXH_11010: bgc=, size=50aa
   - ACYTXH_11020: bgc=, size=159aa
   - ACYTXH_11040: bgc=, size=216aa
   - ACYTXH_11070: bgc=, size=79aa
   - ACYTXH_11085: bgc=, size=146aa
   - ACYTXH_11095: bgc=, size=107aa
   - ACYTXH_11110: bgc=, size=93aa
   - ACYTXH_11245: bgc=terpene-precursor, size=499aa
   - ACYTXH_11250: bgc=, size=60aa
   - ACYTXH_11275: bgc=, size=42aa
   - ACYTXH_11280: bgc=, size=158aa
   - ACYTXH_11305: bgc=, size=50aa
   - ACYTXH_11310: bgc=, size=86aa
   - ACYTXH_11320: bgc=, size=249aa
   - ACYTXH_11385: bgc=, size=259aa
   - ACYTXH_11395: bgc=, size=176aa
   - ACYTXH_11465: bgc=, size=66aa
   - ACYTXH_11565: bgc=, size=144aa
   - ACYTXH_11610: bgc=, size=63aa
   - ACYTXH_11635: bgc=, size=79aa
   - ACYTXH_11640: bgc=, size=43aa
   - ACYTXH_11665: bgc=, size=56aa
   - ACYTXH_11675: bgc=, size=62aa
   - ACYTXH_11755: bgc=, size=117aa
   - ACYTXH_11790: bgc=, size=63aa
   - ACYTXH_11815: bgc=, size=44aa
   - ACYTXH_11830: bgc=, size=47aa
   - ACYTXH_11840: bgc=, size=92aa
   - ACYTXH_11855: bgc=, size=61aa
   - ACYTXH_11860: bgc=, size=188aa
   - ACYTXH_11875: bgc=, size=440aa
   - ACYTXH_11880: bgc=, size=46aa
   - ACYTXH_11945: bgc=, size=202aa
   - ACYTXH_11965: bgc=, size=380aa
   - ACYTXH_11970: bgc=, size=167aa
   - ACYTXH_11980: bgc=, size=85aa
   - ACYTXH_11990: bgc=, size=246aa
   - ACYTXH_12035: bgc=, size=72aa
   - ACYTXH_12060: bgc=, size=75aa
   - ACYTXH_12070: bgc=, size=66aa
   - ACYTXH_12090: bgc=, size=45aa
   - ACYTXH_12120: bgc=, size=150aa
   - ACYTXH_12145: bgc=, size=270aa
   - ACYTXH_12155: bgc=, size=86aa
   - ACYTXH_12185: bgc=, size=93aa
   - ACYTXH_12240: bgc=, size=133aa
   - ACYTXH_12310: bgc=, size=112aa
   - ACYTXH_12325: bgc=, size=167aa
   - ACYTXH_12345: bgc=, size=66aa
   - ACYTXH_12355: bgc=, size=226aa
   - ACYTXH_12380: bgc=, size=79aa
   - ACYTXH_12390: bgc=, size=43aa
   - ACYTXH_12410: bgc=, size=643aa
   - ACYTXH_12420: bgc=, size=1002aa
   - ACYTXH_12470: bgc=, size=778aa
   - ACYTXH_12485: bgc=, size=73aa
   - ACYTXH_12490: bgc=, size=68aa
   - ACYTXH_12530: bgc=, size=413aa
   - ACYTXH_12580: bgc=, size=91aa
   - ACYTXH_12625: bgc=, size=61aa
   - ACYTXH_12650: bgc=, size=185aa
   - ACYTXH_12670: bgc=, size=45aa
   - ACYTXH_12725: bgc=, size=187aa
   - ACYTXH_12740: bgc=, size=251aa
   - ACYTXH_12765: bgc=, size=66aa
   - ACYTXH_12775: bgc=, size=74aa
   - ACYTXH_12780: bgc=, size=24aa
   - ACYTXH_12810: bgc=, size=68aa
   - ACYTXH_12865: bgc=, size=242aa
   - ACYTXH_12885: bgc=, size=177aa
   - ACYTXH_12890: bgc=, size=185aa
   - ACYTXH_12915: bgc=, size=77aa
   - ACYTXH_12990: bgc=, size=153aa
   - ACYTXH_12995: bgc=, size=90aa
   - ACYTXH_13010: bgc=, size=130aa
   - ACYTXH_13040: bgc=, size=54aa
   - ACYTXH_13075: bgc=, size=101aa
   - ACYTXH_13115: bgc=, size=49aa
   - ACYTXH_13135: bgc=, size=94aa
   - ACYTXH_13225: bgc=, size=43aa
   - ACYTXH_13235: bgc=, size=440aa
   - ACYTXH_13260: bgc=, size=220aa
   - ACYTXH_13350: bgc=, size=35aa
   - ACYTXH_13355: bgc=, size=46aa
   - ACYTXH_13405: bgc=, size=92aa
   - ACYTXH_13645: bgc=, size=142aa
   - ACYTXH_13665: bgc=, size=93aa
   - ACYTXH_13700: bgc=, size=224aa
   - ACYTXH_13750: bgc=, size=420aa
   - ACYTXH_13760: bgc=, size=48aa
   - ACYTXH_13770: bgc=, size=187aa
   - ACYTXH_13795: bgc=, size=433aa
   - ACYTXH_13805: bgc=, size=79aa
   - ACYTXH_13840: bgc=, size=65aa
   - ACYTXH_13885: bgc=, size=49aa
