======================================================================
🔍 DEBUG: ANÁLISE DE PROTEÍNAS EXTRAÍDAS
======================================================================

📊 Total de proteínas extraídas (ANTES de deduplicação): 1432

✅ Nenhum locus_tag duplicado encontrado

⭐ Proteínas que aparecem APENAS 1x (NÃO foram duplicadas): 1432
   - FWK04_09135: bgc=SEM_BGC, size=82aa
   - FWK04_09185: bgc=SEM_BGC, size=68aa
   - FWK04_09250: bgc=SEM_BGC, size=162aa
   - FWK04_09255: bgc=SEM_BGC, size=219aa
   - FWK04_09285: bgc=SEM_BGC, size=65aa
   - FWK04_09365: bgc=SEM_BGC, size=83aa
   - FWK04_09370: bgc=SEM_BGC, size=288aa
   - FWK04_09385: bgc=SEM_BGC, size=115aa
   - FWK04_09390: bgc=SEM_BGC, size=1683aa
   - FWK04_09430: bgc=SEM_BGC, size=66aa
   - FWK04_09435: bgc=SEM_BGC, size=71aa
   - FWK04_09465: bgc=SEM_BGC, size=97aa
   - FWK04_09495: bgc=SEM_BGC, size=115aa
   - FWK04_09520: bgc=SEM_BGC, size=1588aa
   - FWK04_09565: bgc=SEM_BGC, size=280aa
   - FWK04_09620: bgc=SEM_BGC, size=98aa
   - FWK04_09655: bgc=SEM_BGC, size=415aa
   - FWK04_09665: bgc=SEM_BGC, size=79aa
   - FWK04_09675: bgc=SEM_BGC, size=184aa
   - FWK04_09700: bgc=SEM_BGC, size=487aa
   - FWK04_09710: bgc=SEM_BGC, size=317aa
   - FWK04_09750: bgc=SEM_BGC, size=68aa
   - FWK04_09770: bgc=SEM_BGC, size=63aa
   - FWK04_09860: bgc=SEM_BGC, size=186aa
   - FWK04_09905: bgc=SEM_BGC, size=71aa
   - FWK04_09930: bgc=SEM_BGC, size=147aa
   - FWK04_09980: bgc=SEM_BGC, size=70aa
   - FWK04_10020: bgc=SEM_BGC, size=246aa
   - FWK04_10025: bgc=SEM_BGC, size=205aa
   - FWK04_10070: bgc=SEM_BGC, size=142aa
   - FWK04_10120: bgc=SEM_BGC, size=165aa
   - FWK04_10150: bgc=SEM_BGC, size=408aa
   - FWK04_10220: bgc=SEM_BGC, size=333aa
   - FWK04_10245: bgc=SEM_BGC, size=175aa
   - FWK04_10250: bgc=SEM_BGC, size=245aa
   - FWK04_10315: bgc=SEM_BGC, size=728aa
   - FWK04_10370: bgc=SEM_BGC, size=747aa
   - FWK04_10405: bgc=SEM_BGC, size=124aa
   - FWK04_10410: bgc=SEM_BGC, size=69aa
   - FWK04_10435: bgc=SEM_BGC, size=117aa
   - FWK04_10440: bgc=SEM_BGC, size=147aa
   - FWK04_10465: bgc=SEM_BGC, size=86aa
   - FWK04_10530: bgc=SEM_BGC, size=141aa
   - FWK04_10640: bgc=SEM_BGC, size=64aa
   - FWK04_10680: bgc=SEM_BGC, size=246aa
   - FWK04_10760: bgc=SEM_BGC, size=230aa
   - FWK04_10815: bgc=SEM_BGC, size=99aa
   - FWK04_10845: bgc=SEM_BGC, size=113aa
   - FWK04_10890: bgc=SEM_BGC, size=124aa
   - FWK04_10905: bgc=SEM_BGC, size=77aa
   - FWK04_10915: bgc=SEM_BGC, size=494aa
   - FWK04_10935: bgc=SEM_BGC, size=499aa
   - FWK04_10980: bgc=SEM_BGC, size=300aa
   - FWK04_11015: bgc=SEM_BGC, size=244aa
   - FWK04_11045: bgc=SEM_BGC, size=209aa
   - FWK04_11090: bgc=SEM_BGC, size=387aa
   - FWK04_11095: bgc=SEM_BGC, size=428aa
   - FWK04_11100: bgc=SEM_BGC, size=61aa
   - FWK04_11115: bgc=SEM_BGC, size=84aa
   - FWK04_11155: bgc=SEM_BGC, size=66aa
   - FWK04_11165: bgc=SEM_BGC, size=128aa
   - FWK04_11190: bgc=SEM_BGC, size=70aa
   - FWK04_11230: bgc=SEM_BGC, size=99aa
   - FWK04_11270: bgc=SEM_BGC, size=180aa
   - FWK04_11275: bgc=SEM_BGC, size=236aa
   - FWK04_11310: bgc=SEM_BGC, size=103aa
   - FWK04_11315: bgc=SEM_BGC, size=72aa
   - FWK04_11325: bgc=SEM_BGC, size=249aa
   - FWK04_11335: bgc=SEM_BGC, size=73aa
   - FWK04_11340: bgc=SEM_BGC, size=170aa
   - FWK04_11390: bgc=SEM_BGC, size=163aa
   - FWK04_11400: bgc=SEM_BGC, size=1177aa
   - FWK04_11465: bgc=SEM_BGC, size=208aa
   - FWK04_11475: bgc=SEM_BGC, size=169aa
   - FWK04_11480: bgc=SEM_BGC, size=115aa
   - FWK04_11485: bgc=SEM_BGC, size=273aa
   - FWK04_11490: bgc=SEM_BGC, size=60aa
   - FWK04_11505: bgc=SEM_BGC, size=181aa
   - FWK04_11550: bgc=SEM_BGC, size=170aa
   - FWK04_11560: bgc=SEM_BGC, size=242aa
   - FWK04_11620: bgc=SEM_BGC, size=444aa
